lat,lon,inUS,Within 500mi of Riyadh,Distance_from_Riyadh(in mi),Within 500mi of Tokyo,Distance_from_Tokyo(in mi),Within 500mi of Mexico City,Distance_from_Mexico City(in mi),Within 500mi of Lima,Distance_from_Lima(in mi),Within 500mi of Reykjavik,Distance_from_Reykjavik(in mi),Within 500mi of Zurich,Distance_from_Zurich(in mi),Within 500mi of Sydney,Distance_from_Sydney(in mi)
-43.30016,-65.10228,N,N,"8,440.581",N,"11,017.157",N,"4,841.865",N,"2,273.992",N,"7,785.554",N,"7,700.635",N,"6,632.358"
-43.15,147.85,N,N,"7,901.489",N,"5,470.542",N,"8,275.129",N,"7,687.022",N,"10,930.754",N,"10,458.533",N,665.438
-43.083332,-71.416664,N,N,"8,757.454",N,"10,706.486",N,"4,664.075",N,"2,170.435",N,"7,880.678",N,"7,918.004",N,"6,476.65"
-42.983334,147.13333,N,N,"7,863.715",N,"5,455.068",N,"8,311.466",N,"7,721.472",N,"10,911.767",N,"10,420.735",N,666.198
-42.92101,147.26334,N,N,"7,869.232",N,"5,451.492",N,"8,304.965",N,"7,719.563",N,"10,909",N,"10,425.079",N,659.869
-42.88321,147.33167,N,N,"7,872.063",N,"5,449.272",N,"8,301.547",N,"7,718.787",N,"10,907.197",N,"10,427.222",N,656.23
-42.833332,-68.666664,N,N,"8,617.935",N,"10,846.593",N,"4,717.866",N,"2,185.368",N,"7,815.294",N,"7,805.234",N,"6,567.427"
-42.740276,-73.985275,N,N,"8,887.401",N,"10,579.194",N,"4,583.696",N,"2,128.345",N,"7,906.793",N,"7,998.196",N,"6,421.044"
-42.73719,147.22784,N,N,"7,864.787",N,"5,438.672",N,"8,306.954",N,"7,729.49",N,"10,896.212",N,"10,418.38",N,648.598
-42.716667,147.15,N,N,"7,860.625",N,"5,436.839",N,"8,310.925",N,"7,733.356",N,"10,893.972",N,"10,414.192",N,648.686
-42.7,146.9,N,N,"7,847.982",N,"5,434.363",N,"8,323.635",N,"7,743.451",N,"10,890.066",N,"10,402.104",N,652.325
-42.683334,146.86667,N,N,"7,846.08",N,"5,433.043",N,"8,325.348",N,"7,745.474",N,"10,888.568",N,"10,400.091",N,651.908
-42.5,-70.833336,N,N,"8,727.032",N,"10,740.259",N,"4,642.903",N,"2,136.678",N,"7,832.426",N,"7,868.881",N,"6,526.603"
-42.433334,147.13333,N,N,"7,855.598",N,"5,417.285",N,"8,312.041",N,"7,747.245",N,"10,874.676",N,"10,405.5",N,630.785
-42.416668,-67.166664,N,N,"8,540.092",N,"10,926.333",N,"4,733.456",N,"2,180.477",N,"7,762.305",N,"7,730.709",N,"6,632.041"
-42.416668,-65.0,N,N,"8,429.961",N,"11,035.156",N,"4,794.346",N,"2,219.446",N,"7,726.096",N,"7,653.228",N,"6,687.983"
-42.35,146.75,N,N,"7,835.253",N,"5,409.528",N,"8,331.681",N,"7,765.511",N,"10,864.794",N,"10,385.298",N,633.098
-42.0,147.0,N,N,"7,842.417",N,"5,386.792",N,"8,319.19",N,"7,772.537",N,"10,843.97",N,"10,386.901",N,605.808
-41.766666,147.36667,N,N,"7,857.287",N,"5,372.791",N,"8,300.429",N,"7,769.485",N,"10,832.153",N,"10,397.196",N,583.607
-41.75,-73.0,N,N,"8,836.956",N,"10,633.318",N,"4,544.971",N,"2,066.484",N,"7,824.51",N,"7,914.917",N,"6,506.011"
-41.666668,-70.416664,N,N,"8,703.606",N,"10,766.662",N,"4,603.141",N,"2,085.055",N,"7,771.017",N,"7,813.752",N,"6,586.34"
-41.55,147.21666,N,N,"7,846.445",N,"5,357.066",N,"8,308.211",N,"7,785.282",N,"10,815.911",N,"10,383.796",N,572.85
-41.533333,147.2,N,N,"7,845.35",N,"5,355.829",N,"8,309.076",N,"7,786.694",N,"10,814.607",N,"10,382.523",N,572.143
-41.5,-73.083336,N,N,"8,841.008",N,"10,629.704",N,"4,527.633",N,"2,048.783",N,"7,810.045",N,"7,906.398",N,"6,517.569"
-41.5,-71.5,N,N,"8,759.104",N,"10,711.551",N,"4,565.87",N,"2,062.177",N,"7,780.207",N,"7,846.43",N,"6,564.551"
-41.466667,147.6,N,N,"7,864.53",N,"5,353.543",N,"8,288.376",N,"7,774.426",N,"10,814.284",N,"10,399.21",N,559.871
-41.46574,-72.942894,N,N,"8,833.7",N,"10,637.052",N,"4,528.841",N,"2,047.451",N,"7,805.166",N,"7,899.448",N,"6,523.718"
-41.43876,147.13467,N,N,"7,840.601",N,"5,348.969",N,"8,312.472",N,"7,793.592",N,"10,807.516",N,"10,376.65",N,567.561
-41.416668,145.7,N,N,"7,767.924",N,"5,340.269",N,"8,386.803",N,"7,849.034",N,"10,789.773",N,"10,309.054",N,601.31
-41.25,-69.0,N,N,"8,628.804",N,"10,842.025",N,"4,615.276",N,"2,075.458",N,"7,718.479",N,"7,741.043",N,"6,650.541"
-41.216667,146.48334,N,N,"7,804.209",N,"5,330.248",N,"8,346.338",N,"7,828.859",N,"10,785.382",N,"10,339.549",N,568.909
-41.18968,146.24927,N,N,"7,791.941",N,"5,327.225",N,"8,358.521",N,"7,839.039",N,"10,780.913",N,"10,327.803",N,573.223
-41.183334,146.45,N,N,"7,801.99",N,"5,327.787",N,"8,348.088",N,"7,831.696",N,"10,782.759",N,"10,336.979",N,567.722
-41.17695,146.35152,N,N,"7,796.907",N,"5,326.854",N,"8,353.212",N,"7,835.749",N,"10,781.217",N,"10,332.188",N,569.83
-41.15,147.46666,N,N,"7,852.971",N,"5,331.024",N,"8,295.214",N,"7,794.194",N,"10,791.467",N,"10,383.445",N,542.335
-41.14747,145.83487,N,N,"7,770.308",N,"5,322.352",N,"8,380.107",N,"7,856.748",N,"10,773.266",N,"10,307.176",N,581.825
-41.10559,146.82607,N,N,"7,819.798",N,"5,324.398",N,"8,328.548",N,"7,820.948",N,"10,781.67",N,"10,352.169",N,553.796
-41.1,145.68333,N,N,"7,761.866",N,"5,318.397",N,"8,388.042",N,"7,864.731",N,"10,768.28",N,"10,298.653",N,583.308
-41.0,-67.25,N,N,"8,536.686",N,"10,934.25",N,"4,648.649",N,"2,086.538",N,"7,671.457",N,"7,664.342",N,"6,713.45"
-41.0,-66.25,N,N,"8,484.762",N,"10,986.128",N,"4,677.153",N,"2,104.593",N,"7,654.307",N,"7,627.832",N,"6,740.302"
-41.0,-65.5,N,N,"8,445.855",N,"11,024.981",N,"4,698.986",N,"2,119.168",N,"7,641.663",N,"7,600.643",N,"6,760.06"
-40.966667,145.63333,N,N,"7,757.123",N,"5,308.996",N,"8,390.786",N,"7,872.961",N,"10,758.716",N,"10,292.218",N,577.053
-40.9,145.48334,N,N,"7,748.412",N,"5,303.745",N,"8,398.683",N,"7,881.809",N,"10,752.44",N,"10,283.156",N,577.657
-40.833332,145.33333,N,N,"7,739.688",N,"5,298.51",N,"8,406.594",N,"7,890.659",N,"10,746.149",N,"10,274.084",N,578.422
